municode,iid,choice1,blue1,win1,group,grpmem,cogrpmem,idgroup,choice2,blue2,win2,renegade,renegadewin,head,urbr_2,female,yage,ysch,married,tcons,lcons,survhhsz,familyoutdeg,friendsoutdeg,insample
10,1015,4,0,1800,1,10,9,1002,5,1,11000,0,0,0,1,1,34,1,1,486899.59,13.095813,9,0,2,1
10,1016,5,0,1000,1,10,9,1002,5,1,11000,0,0,0,1,1,17,6,0,654248.69,13.391243,10,1,1,1
10,1017,2,1,5700,1,10,9,1002,4,0,1800,0,0,0,1,1,64,0,1,271518.47,12.511786,6,0,6,1
10,1021,2,1,5700,1,10,9,1002,4,1,9000,0,0,0,0,1,46,3,1,369499.16,12.819903,8,0,0,1
11,1122,3,1,7200,1,6,5,1101,2,0,2700,0,0,0,1,1,36,6,1,193166.78,12.171309,5,1,5,1
11,1126,2,1,5700,1,6,5,1101,2,1,5700,0,0,0,1,1,25,7,1,424054.13,12.957617,4,1,1,1
11,1125,1,0,3000,1,6,5,1101,2,1,5700,0,0,0,1,1,35,5,1,142906.28,11.869945,5,1,3,1
11,1128,1,0,3000,1,6,5,1101,2,0,2700,0,0,1,0,1,36,11,0,339008.88,12.733782,3,1,11,1
11,1124,2,0,2700,1,6,5,1101,2,0,2700,0,0,0,1,1,26,6,1,197995.53,12.196,5,0,2,1
11,1130,4,1,9000,1,6,5,1101,6,0,0,0,0,0,1,1,30,5,1,263899.22,12.483322,5,1,3,1
11,1149,6,1,12000,1,5,4,1102,4,0,1800,0,0,0,0,1,40,2,1,439937.31,12.994388,5,0,1,1
11,1150,3,1,7200,1,5,4,1102,4,0,1800,0,0,,1,,,,,298652.47,12.607036,13,0,1,
11,1148,3,0,2400,1,5,4,1102,1,0,3000,0,0,0,0,1,38,8,1,359251.28,12.791778,6,2,2,1
11,1146,4,0,1800,1,5,4,1102,5,0,1000,0,0,0,0,1,39,4,1,442030.91,12.999135,7,0,1,1
11,1151,4,0,1800,1,5,4,1102,6,1,12000,0,0,0,1,0,41,4,0,236965.77,12.375671,9,0,1,1
11,1135,4,1,9000,1,5,4,1103,3,1,7200,0,0,0,0,1,26,6,1,358617.78,12.790012,5,0,1,1
11,1143,1,0,3000,1,5,4,1103,3,0,2400,0,0,0,1,1,30,4,1,216403.67,12.284901,5,0,2,1
11,1133,2,1,5700,1,5,4,1103,3,1,7200,0,0,0,0,0,32,6,0,620104.31,13.337643,8,0,1,1
11,1136,6,1,12000,1,5,4,1103,3,0,2400,0,0,0,0,1,59,0,1,71618.375,11.179107,5,0,1,1
11,1134,4,1,9000,1,5,4,1103,3,1,7200,0,0,,,,,,,,,,0,3,
11,1113,2,1,5700,1,8,7,1104,3,1,7200,0,0,1,1,1,28,3,0,173256.02,12.062526,8,1,2,1
11,1110,4,1,9000,1,8,7,1104,3,1,7200,0,0,0,1,1,29,5,0,517937.63,13.15761,10,1,5,1
11,1109,1,0,3000,1,8,7,1104,5,1,11000,0,0,0,0,1,53,1,1,630340.56,13.354015,21,0,3,1
11,1105,1,0,3000,1,8,7,1104,5,0,1000,0,0,0,0,1,40,4,1,332378.13,12.714028,8,1,2,1
11,1111,5,0,1000,1,8,7,1104,1,0,3000,0,0,0,1,1,28,11,0,260070.89,12.46871,8,1,1,1
11,1104,1,0,3000,1,8,7,1104,5,0,1000,0,0,,1,,,,,614527.5,13.328609,,0,4,
